,Name,Overall rating,Date of reply,Text
145,Pulgeros,5/5 stars,"November 8, 2018","This is the best app that I installed in my Shopify Store. I tried many other before installing Plobal Apps and not the others companies gave me the technical support, the customer service and the help I need it. The team at Plobal Apps are the best! They answer your questions really fast, and they are very knowledgeable. They help me 100% to launch and publish my app for both Android and IPhone.  I am not a developer. I am a business person that needed a team who will be there for my company. Now I glad that I have a great team at Plobal Apps Mobile App. Thank you so much Yuvraj, Rutuja and Pratik for all the support and help you give me everyday. - Yovanny Alfonso Founder of Pulgeros.com"
146,Kellshii,5/5 stars,"November 2, 2018",Best Customer Service Ever Provided By Plobal Apps ! I am totally satisfied ! Thank You Plobal Apps !
147,JANAKALYAN HOMEO PHARMACY,5/5 stars,"October 30, 2018",It's amazing. I can't find other apps more useful than this. You must try it. I am very much happy by using this. I was always thinking about how this gonna be happen with mobile app. But thanks to Plobal apps you guys make it perfect. 
148,Amazoning.in,5/5 stars,"October 25, 2018","I started communicating with Sumant, Really a cool guy. Guided me well and immediate response. Thanks you for your excellent support. "
149,TropiCo Aqua,5/5 stars,"October 18, 2018","Always wanted mobile app for my online store and I have been searching for one for sometime now,but most were completely out of my budget. When I did make the decision to go with Plobal Apps, it was a smooth experience from the word go. The team is prompt and very supportive ( I am saying 'very' because, they had to be patient and answer my incessant non-techie questions). Awesome team. My App went live on both platforms today and I have already got 3 orders! Thanks a ton!"
150,Bomb Cosmetics,5/5 stars,"October 16, 2018",every thing is excellent And the support is excellent The apps is easy and simple way to install images and change colors
151,Aek Inkjet MyStore,5/5 stars,"October 12, 2018","- รับผลิตป้ายไวนิล- ป้ายไฟ- สติกเกอร์ (สลากสินค้า,โลโก้ร้านค้า,สติกเกอร์แต่งรถ และอื่นๆ)- ตรายางด่วน (ตรายางหมึกในตัว , ตรายางธรรมดา)- นามบัตร- จำหน่าย คอมพิวเตอร์ เครื่องปริ้น และ อุปกรณ์ต่อพ่วงคอมพิวเตอร์ทุกชนิด- วัสดุสำหรับการพิมพ์ทุกชนิด (สำหรับร้านป้ายโฆษณา)"
152,Thrift+,5/5 stars,"September 27, 2018","I’ve been following these guys for the last 12 months, waiting for the functionality to get to a level we could be proud to show our customers. It’s there now and I’m really excited to work with the team to make it a success. Compared to developing an app from scratch the prices seem like good value to me but clearly only for larger shopify stores as plobal say themselves. I’ll try to remember to update my review as things progesss! "
153,Orient Electronics,5/5 stars,"September 27, 2018",We were looking for some solution to reduce time to market our shop app and Plobal really did the needful. Great customer service. Rutuja provided us utmost support / guideline whenever its needed. Easy to use control panel. We are further looking forward to have another Plobal app for our new marketplace!
154,MHMaison,5/5 stars,"September 25, 2018","I started using this app about 3 days ago and I was in between choosing them or 3 other companies, but so far I am pretty happy I chose Plobal Apps. Super customer service and easy to use!"
155,ShopAesthetics,5/5 stars,"September 25, 2018","Sumant was extremely kind, quick, and efficient. I really enjoyed the app building process because it was simple. I changed from Tapcart to Plobal because of the great assistance and ability to get my app launched !"
156,Bariatric Food Direct.com,5/5 stars,"September 6, 2018",I needed the app for my store. Yuvraj has been very helpful and the app looks great. We like it better than our store LOL 
157,Best of Everything,5/5 stars,"September 6, 2018",Plobal Apps is extremely user-friendly. Everything went smoothly from connecting the collections of our Shopify store to preparing for the launch of our app in Apple's App Store and on Google Play. Plobal's support staff are extremely helpful and their services are excellent. I highly recommend that others use their platform to turn their store into an app.
158,Daj Worldwide 4,5/5 stars,"September 26, 2018",Absolutely fantastic customer service. Super knowledgeable about the space in which they work. A lot of resources to help their customers succeed. They are one of the best to work with and are super nice to our business and we are excited to continue to work with Plobal!
159,Natures Pet Foods Trade,5/5 stars,"August 17, 2018",Fantastic looking app and very simple and easy to use!The customer service that we received was fantastic and the team at Plobal were very flexible to our needs. Thanks guys.
160,Readymomshop Com,5/5 stars,"August 16, 2018",Yuvraj is the main and really has a lot of great skills. He really helped me out with everything i needed to get done as well as giving me knowledge on what i would need to succeed. Thank you Yuvi and Plobal! You are the MVPS!
161,Mozzani,5/5 stars,"August 16, 2018","It's a great experience to work with Plobal team, they provied the best suport for anybody who need ther help.It's a really active team that can be contacted any time, what surprised me is the fact that any time i was needing there help it's them who contact me first and gived me exactly what i needed, this makes me to win alot of time.Thanks for the great team Plobal."
162,Dracofruit,5/5 stars,"August 16, 2018","Working with the Plobal team has been a great experience. They are very responsive and have a wealth of technical expertise with mobile apps and integrating it with your Shopify store. This ensures your customers are not frustrated and risk losing a sale. Additionally, they provide insightful e-commerce advisory services to apply best practices for your mobile app. This allows you to avoid learning from trial and error, and start off with a functional mobile app and steady revenue channel. Lastly, but probably most importantly, their team are true professionals, they respect your time, and are excellent business partners."
163,Smarttekuk,5/5 stars,"August 15, 2018","Great support, thank you very much."
164,Bc Vapo,5/5 stars,"August 10, 2018","great team to work with, looking forward to our app getting published"
165,Retroshop Sa,5/5 stars,"August 9, 2018","I've stumbled upon this app after few trips between other Mobile Apps creators for Shopify stores. I believe I've made the right choice based on a few major factors. First is their stunning customer service and their excellent expertise. They've shown great readiness for any challenge and an optimistic approach for dealing with any expected hiccups, and this is considered a rare commodity nowadays in the world of customer service. They've answered all of my questions and inquiries on the spot. As the world is moving towards a mobile browsing era, choosing the right partner is absolutely crucial, and I believe I've made the right choice. Thumbs Up! "
166,Buy Hgh Thailand,5/5 stars,"August 7, 2018",Very happy to stay with Plobal team mobile application 
167,Ecowearplus,1/5 stars,"August 6, 2018",garbage - errors out. prices are absurd. also you need an app developer account. how is this a viable shopify app?
168,Bokusuperfood,5/5 stars,"August 3, 2018",ALL Members of staff are extremely friendly and helpful; the app was so easy to set up!! Loving my experience this far with Plobal Apps and team :) 
169,Pinkyfrogshop,5/5 stars,"August 3, 2018", Good apps with a good support team. Which something that I am looking for to expand my business.  I want to say thanks to Sumant from Plobal Apps and team. Doing such a great work for shopify family. Will subscribe for this coming 2019 app project like we plan. I recommend it to try.
170,Rosa Boutique,5/5 stars,"August 3, 2018",Wonderful customer service! Thanks for Rutuja and Yuvraj's help. They're really patient. Always willing to help solve my problems. Great!
171,Mr Sukimoako,5/5 stars,"August 3, 2018",POWERFUL TOOLS & VERY RESPONSIVE SERVICE i got this app 3 days ago and im amaze with the tools. I know all  merchant like to have app store. This is awesome very powerful tools  you can control all marekting strategy and fast loading app.Over All its Great App looking forward more updating feature soon.Thank You plobal App you are helping small and medium busines likem. 
172,Campmate,5/5 stars,"August 2, 2018","Working with Plobal Apps, and Yuvi specifically has been amazing! Customer service, communication, and problem-solving are A++. I am so impressed with everything so far and really look forward to working with them and having them apart of my team for growing and expanding my business! I highly recommend them! I am very careful and diligent to whom I work with in any of my businesses and Yuvi and the whole Plobal team has far exceeded every and any expectation I had! Cheers!"
173,Brothers With Glass,4/5 stars,"August 2, 2018","Just signing up with the app right now, they have been accommodating to my needs and helpful to work with. We are planning to give the app a 3 month trial to see how it works for us. At first glance this is the best one in the app store though its a lot pricer than the rest. The features are basic but seem to work well, the homepage template is really easy to use."
174,Organo Farm Store,5/5 stars,"August 2, 2018",I got referred to Plobal by Shopify Guru and it has been a very pleasant experience. Yuvaj has been extremely helpful in suggesting and helping me go through the transition easy. Special thanks to Yuvraj and the team of Plobal.
175,Economm,5/5 stars,"August 1, 2018",Great app with great support! They are great at helping you with all off your needs and they give great advice.
176,Top Gadgets Shop,5/5 stars,"August 1, 2018","If you are looking to open up your marketing channel and not be restricted to just Facebook Pages and Google Adwords and wish to utilize the mobile apps platform, then this is the app to choose. What I like about this service provider is the 24 hour follow up service and the automation provided by the app. At the end of the day, you will still need to employ various marketing services to boost your app downloads, but not creating an app for your e-commerce store is simply foolish and if you have no coding skills like me, then I suggest you take a look at this service provider. There are still some improvements needed, such as currency conversion but their management is definitely working on it. Anyway, if you want to take advantage of the mobile apps platform (iOS/Android), download this app and experience it yourself. You can literally submit your app within 10 minutes."
177,Beauty Reborn Technology,5/5 stars,"August 1, 2018","Definitely the best or if not, one of the best service providers I have used so far. I have had experiences in creating apps in the past with freelancers but the Plobal App definitely lets any one without coding experience to create their native shopping app with ease. Most importantly, the staff was very helpful, that's why I have elected to choose a 1 year plan and will most likely continue using their services."
178,Leaffrog 2,5/5 stars,"August 1, 2018","Amazing experience from day one, Fast responses and very professional. Will recommend this company for anyone who needs to build an app. They answer all question and help you in the shopify store. Again thank you again for all your help your team is amazing."
179,Fashionmartonline,5/5 stars,"August 1, 2018","Great response, I will look forward "
180,Speedy Vinyl,5/5 stars,"July 31, 2018","So far so good! Yuvraj has been helping me all day, he even called me to help me figure a couple things out! I love the instant chat feature, and the helpful documents that they have ready to guide you step by step as well! The interface itself is very user friendly... I found it quite easy to design my app to look the way I wanted. I love that Plobal has an additional app for the designer to preview on your mobile phone to see how it's looking! That's very helpful in visualizing the end result. Yuvraj has also helped me step by step figure out what needs to be done with google & apple so that my app can go live! I've had a really great experience and we look forward to seeing how our new app helps our company! "
181,Brutalitees,5/5 stars,"July 31, 2018","love this app!! takes a little bit to set up but it's so worth it!! customer service is beyond amazing.. fast, friendly and efficient. if I could give 10 stars I would!"
182,Suddpt,5/5 stars,"July 31, 2018","Stupendous support, always online ready to help to solve problems or doubts. Customize the app's is easy and smooth for both mobile operating systems."
183,Gorilla Warehouse,5/5 stars,"September 17, 2018","Very helpful staff, great communication i have no doubt will provide great support for any problems that may arise in the future as they have already helped me with Problems I have encountered.First class customer service!"
184,Bilibeli,5/5 stars,"July 31, 2018",Great app and helpful staffs! The app itself was user-friendly. Recommended.
185,The Homely Aisle,5/5 stars,"July 30, 2018",This has been the best experience that i've EVER had with an App!Yuvraj was so helpful with everything and made me feel like apart of the family! This is very important for My Business and getting everything done. He was available at the time we scheduled and was very knowledgeable. I wouldn't go with any where else with my business.
186,Das Info Solutions,5/5 stars,"July 30, 2018","Its really great app,  and customer support is excellent which is more requirement for a beginner. "
187,Foxrobe,5/5 stars,"July 30, 2018","This is one of the best shopify app. The team is really helpful. Easy to set up and there are so many amazing featured provided by them. Along with that, they exert so much to keep your business blooming. Really incredible services. Definitely worth trying."
188,Brandssoire,5/5 stars,"July 30, 2018","Best App of all here in shopify. Totally easy to handle it. I would recommend it every time. The support team is very good as well. If you need help, they are always there and try their best to find a solution. "
189,Mall Run Llc,5/5 stars,"July 30, 2018",Easily the best app I’ve ever used through shopify. The customer service team is great and helped me with my app and designed it just the way I wanted. I would definitely recommend over any other app. 
190,9inety9ine,1/5 stars,"July 30, 2018",The app is not worth it...1.it slows down your phone2.the pictures are not neat3.very bad customizing 
191,Thambooriworldwide,5/5 stars,"July 30, 2018",Thanks for the team for being very supportive in getting the app in place . We really look forward to a good traction thru the app !
192,Gracestore Pk,5/5 stars,"July 30, 2018","We are Loving the app, Its as Good as shopify, very easy to set up and no skill required.The charges are a little high for small businesses but Quality of service is very good. Specially the support from yuvraj is very Helpful.Thank u "
193,Scheer Cats,5/5 stars,"July 28, 2018","Awesome app, nice design, happy to get an app to my store, very good idea from the creators, nice team also, they're very helpful with everything, so plobal team thanks for the support"
194,Junction K,5/5 stars,"July 27, 2018","So impressed with this mobile app. I tested out a couple and this one was hands down my favorite. It is easy enough for someone to set up themselves or you can have them set it up for you. Within minutes I had it setup and ready to use. I love all of the features, sorting capabilities, subcategories and everything it offers. Price was important to me as well and their pricing was very reasonable. Out of the apps I tested, Plobal Apps was the only one who quickly responded to any questions I had. Their customer service is top notch. I highly recommend using them. "
195,Maklovia,5/5 stars,"July 27, 2018","Our brand is loving this app. Thank you so much to Sumant, for his amazing customer service.. . we are sure we will be working with you guys for a long time!"
196,Islandtea,4/5 stars,"July 27, 2018",Rather pleased with the application which is very simple to use and customize. The team is here to help you.See if it continues when I install it on Apple store
197,Yi Cam Store,5/5 stars,"July 25, 2018","By far the best i have seen. Great Design, User friendly, easy to manage and above all Great Customer Support. "
198,Uligon,5/5 stars,"July 24, 2018",Outstanding people- outstanding team! They really go above and beyond to be of service! And the app in itself is very simple to set up yet looks very effective for sales!
199,Phiyani Rue,4/5 stars,"July 24, 2018","I love my app! We carry a large number of items and we wanted to make sure that our customers can view the items easily and shop from the comfort of their phone. This app can definitely help them do that. Customer service has been great, they are always there to help.. may be a little delay in response due to the time difference but they do get back to you. "
200,Dream Shoe World,5/5 stars,"July 22, 2018",Thank u sumant sir for helping me to build an play store and apple store..and providing me the full information to customizing the app. And i can asurely say that u r doing a great job.. Soo m thankful to u again for the excellent response. Thank u sir
201,Digitalimportsdubai,5/5 stars,"July 20, 2018","First thing first, I have never seen such a support in my life. These guy do extra mile to provide you support and help you to design your app. I am very glad to select this app and currently I am in a process to go live. App testing is very simple but I suggest you all to start chatting with support guy and start taking help while you are designing the app otherwise it will take time for you to understand it fully. I will prefer Plobal Apps and recommend it."
202,Testy78,5/5 stars,"July 20, 2018","The customer service is fantastic! I really appreciate all of the help they are providing me with. They take the time to answer all of my questions, and their response time is really good too! "
203,Glomanny2,5/5 stars,"July 19, 2018",Very nice people. They work hard and help you through your everything. I recommend for anyone who wants to launch an app.
204,Akshyastore,5/5 stars,"July 16, 2018","Really good experience to interact with team really help full to make the project success, I am really surprise working 24/7 to give the customer supportPrathik special thanks to you  "
205,Survival Camp Plus,5/5 stars,"July 5, 2018","Top customer support, very helpful, easy to use. I highly recommend this company"
206,So Coffee,5/5 stars,"June 27, 2018","Just got off Skype to Chintan, extremely satisfied with his help and patience. Looking forward to working closely with Plobal Apps"
207,Scarters,5/5 stars,"June 25, 2018",The most efficient and proactive team to work with! The team worked so effortlessly through the entire process of build and setting up the app Live. 
208,Allstarspets,5/5 stars,"June 21, 2018",This is the best customer service ever!!!Definitely recommend this !
209,Itackle,5/5 stars,"June 20, 2018",The support team is very helpful...always answered when i called and never had to wait more than an hour for a msg responses
210,The Direct Connect,5/5 stars,"June 19, 2018",Great app to use and the staff can't do enough to help you. They supported us fully thru out the build and setting the app live. Can't wait to get started on it!
211,C Larboard,5/5 stars,"June 14, 2018","Great app - highly recommend! Love the functionality, ease of making changes and their support is fantastic. Also love that we can send push notifications to our users!"
212,Bluestreak Charms Jewellery,5/5 stars,"June 3, 2018",Superb app - does what it says on the tin. I have now launched two mobile apps for my two separate eCommerce stores and overall the apps work really well and customer feedback is positive and sales good. It only took me about 2 weeks from start to finish to go-live this time around. The team at Plobal are always very responsive to my queries and very helpful. Thank you
213,Merchanthunter,5/5 stars,"June 1, 2018",Great App. Lot to set up initially but once you get past the initial phase seems easy enough
214,Bikeaddicts,5/5 stars,"May 31, 2018","The team at Plobal is pleasure to work with. Very helpful, always ready to assist. Very professional. Cannot think of an instance where we had to wait days or even hours for them with a helpful response or solution. Keep up the good work guys and girls."
215,Shop Thatlbd,5/5 stars,"May 30, 2018",Amazing customer service!  I am having a great experience.  Highly recommended.
216,Dgilife,1/5 stars,"July 28, 2019","You cannot hide specific products on app, their way to solve this problem is ridiculous. which is make you cannot checkout.And today I saw this app delete from my app automatically.Not too good experience.And it charged me 3,184USD because of it's not normal deleting process.Worst experience on shopify.I was so disappoint that shopify allow this thing happened."
217,Timelessha,5/5 stars,"May 29, 2018",Highly recommend this app! It is simple to use and set up. The team is super helpful and responds promptly to any questions. 
218,Yassonfr,5/5 stars,"May 29, 2018","The team is very supportive of Yuvraj Kewate and Chintan Pala. It is very efficient, very good customer support, effective, friendly, enthusiastic, and really thank him for helping to build the application.Thanks so much!"
219,Myexportleftovers,5/5 stars,"May 26, 2018","Hands down one of the best people to work with. Great customer service, speedy response and Chintan is always there when I need him. We have got the app for 3 months now and the results have been awesome. Well done guys! Highly recommended."
220,Milanus,5/5 stars,"May 23, 2018","Very good customer service, quick and easy to install and work WELL, our I.T. personnel loves it. Our customer also loves it. RECOMMENDED!!!"
221,Thorngearstore,5/5 stars,"May 21, 2018",So far the Plobal team has been very supportive.   This is the fastest and most cost efficient way to create an app that I've seen so far. 
222,Dropnos,5/5 stars,"May 21, 2018","The  team is very supportive specially Yuvraj Kewate is very efficient , awesome customer support, effective,friendly,enthusiast,.Really appreciate for his help setting up the app. Thanx so much again:))"
223,Kepromos89,5/5 stars,"May 17, 2018",Plobal app team represents support excelence at it’s best! 
224,Shabbyz,4/5 stars,"May 8, 2018","Quick responses. Sometimes the help articles are out of date, but otherwise there is a lot of support to get moving. To get 5 stars, they need to make it editable from my phone - I have to be on a computer to do anything with the app. "
225,Azul Heaven Unique Designs,5/5 stars,"May 8, 2018",Plobal apps has been wonderful in helping me get my app out in the world. They have stood by me with apple trying to get it approved and I greatly appreciate it!
226,Thoomri,5/5 stars,"May 7, 2018","Them team is very supportive specially Yuvraj Kewate is very efficient, effective,friendly,enthusiast,hard working and even after launch of our mobile app he is always available to support us.even in sundays and after his office hours.what else can we expect from a team like this."
227,Myfirstwork,5/5 stars,"May 3, 2018",Fast and easy way to start selling through the apps.
228,Opherty Ciocci,5/5 stars,"May 2, 2018","Super-APP. Simple, Easy and extremely well created. Customer Service is what you call EXCELLENCE. and I am writing this because I mean it. All the team guided me from the start during the setup, configuration and installation processes which could take some days. We went all the way through in a 48 hours, and I have just spoken with my ""success dedicated customer service manager"" who has been kind, patient and has given us a lot of valid information to continue or App path. Thank you very kindly, Chintian, you have been SUPERB."
229,Shopaholics E Commerce Pvt Ltd,5/5 stars,"April 26, 2018",Great App. Easy to use. Customer Support is excellent.With so many good functions which can help us in scaling our business online through Mobile App.Plobal Apps is a team of enthusiast developer who are working for achiving their customers business to a next level. Simply a hats off to you guys.
230,Boberckcl,5/5 stars,"April 18, 2018",geat customer service and support
231,Bazarcom Online Store,5/5 stars,"April 13, 2018","Great application done by great team, thank you for customer service support"
232,1kuti,5/5 stars,"March 29, 2018","Only 5 stars as support is very good. Otherwise they need to make some more options to controll what products to display on home page,  chose between drawer navigation or tabs and be able to select what collections to appear on what pages, etc. Anyway i do believe that this guys will do great and improve their app. Also the price should be lower."
233,Shopi Expresse,5/5 stars,"March 28, 2018",Très bonne application je la conseille vivement ;)
234,Trendingvip Co,5/5 stars,"March 22, 2018","Support is good and fast respond.Marketing will launch soon, stay tune!"
235,Khk Mall,1/5 stars,"March 21, 2018",how do i know whether any customers is viewing my store?
236,Okra Online Shop,5/5 stars,"March 15, 2018","If you want to have an app for your online store, then I highly recommend this app, it has a user friendly interface, easy to use and the most important thing is Plobal Apps team, they are very friendly, supportive, honest and smart, they are targeting to provide you a quality service. I usually don't write reviews however that team really impressed me by the very professional way they deal with their clients, they got everything ready in very short time and launched the app for me very smoothly, then they were always there to answer any inquires. Thank you Probal Apps team for your great support and team spirit, please keep it up!"
237,Nina Hs,5/5 stars,"March 15, 2018","Love it! Wish I had known this App earlier, very easy to install and use, and perfectly works.  Highly recommended. Thanks Plobal Apps team."
238,The Ec Commerce,5/5 stars,"March 12, 2018",looks good and simple to create. hoping it works well.
239,California Republic Clothes,5/5 stars,"March 9, 2018","Super helpful staff, very easy to use, overall a great experience!"
240,Red Buffalo Online,5/5 stars,"March 5, 2018",Very user friendly and helpful. Thanks again.
241,Fashion Delights,5/5 stars,"March 7, 2018",Great app and the staff are completely helpful. 
242,Teslyne,5/5 stars,"February 27, 2018",Ali provided great service and was very helpful with all of our issues.  He and his company are a pleasure to work with. - Kyle   www.teslyne.com 
243,Economicshopping,5/5 stars,"February 24, 2018",Excellent:)))))))Excellent:)))))))
244,Toysforapound,5/5 stars,"February 20, 2018",The Plobal Apps team have been absolutely fantastic helping us set up our app. Their customer service in second-to-none and the speed in which they deal with any technical or design queries/issues is incredible.
245,Tiamat Coin Exchange,5/5 stars,"February 19, 2018","Really nice app. It mirrors my shopify rather well. Not all aspects of it mind you, for instance, if you put up a banner in your shop, the app will not pick it up.  But it does gather the collections and other setups that i needed. The customized aspect on the admin end is minimal. The analytics is a big plus. When you open the app, doves dont fly out and there is no parade. It's just a simple app to help me sell my wares. And thats all i needed.  And the staff are very nice and a pleasure to work with.  I was hesitant about a few things and Yuvraj Kewate help me out with the questions, I wasn't feeling the price but Ali Motiwalla gave me a decent discount. and when it came time for the back end system checks and launching,  Rutuja Thackeray and her team made my day. She made a smooth launch possible even when i was having problems, excellent communication and always ready to help.  I will be working with Plobal apps for a long time to come.  "
246,Best4ecigs Store,5/5 stars,"February 14, 2018",Great support and an easy app to use.  Plobal have guided us through from start to finsh.
247,Welkit,5/5 stars,"February 14, 2018","Great app, easy to install and configure. And the support is very fast."
248,Nora Gray 2,5/5 stars,"February 13, 2018","We love this app. Not only does it sync with Shopify well, the customer support is amazing. If we have any problems they are always quick to help and fix it! If you are needing an app that is easy to operate, this one is for you."
249,Buyify Inc,5/5 stars,"February 13, 2018","This is a really good way to get your buisness to a higher level, its simple, you don't need to use alot of time getting your own app up running live. Its not expensive for Android, i did use this app creator for my own company! they fixing all for you and the service is really good!  So i would  reccomend this app creator any day! Thumbs up! :)"
250,Blanik,5/5 stars,"February 1, 2019","Plobal app Services is the best experience that we ever got so far, the quick response and helpful contact are the differentiator among others service provider. It's been a great journey with Plobal Apps, and we are sure that we will continue the service in the future. "
251,B1ackgesus Co,5/5 stars,"February 7, 2018",Great app and support team. Truly works with you to complete your goals.
252,Eunikeboutique,5/5 stars,"February 7, 2018",gooood..............................................
253,Don White Artdreamer,5/5 stars,"January 29, 2018",Very impressed and really happy with Plobal apps!  Awesome support and responsiveness!  Never could have done this myself!
254,Longevity Create,5/5 stars,"January 29, 2018",Your mobile application I really like and I will recommend it to my friends. Now I take a month's pause on Shopify and you'll turn on the application in a month
255,Imperiul,5/5 stars,"January 21, 2018",Amazing app. Their support team is very helpful.
256,Yzprojectapparel,5/5 stars,"January 17, 2018",Fantastic APP. Got to admit guys. They are really helpful to be honest and have excellent features!
257,Sarees Sg,5/5 stars,"January 17, 2018",Excellent customer service to start with. From the App launch to post-launch they continue to impress. The fee structure also incentivises them to see us being more successful. This is where our interests are very much aligned. Overall I would give them two thumbs up :)
258,Maison Nearby,5/5 stars,"January 17, 2018","Great service, thank you for all your help"
259,Francs Boutique,5/5 stars,"January 17, 2018",Very helpful and genuinely interested in making sure their product helps our business grow.
260,Giaohang,5/5 stars,"January 17, 2018","Very decent app, easy to use dashboard and great service and support from the team and ecspecially Chintan"
261,Jyarz 2,5/5 stars,"January 16, 2018",The Plobal Team has provided exception support. I'm not a programming and my app is now beautifully available on the App and Play Stores. Bravo Plobal team...Bravo. Thank you for an excellent product!
262,Luush,5/5 stars,"January 13, 2018",This app helped my business a lot! Thanks!
263,Thirtynine99,5/5 stars,"January 12, 2018",ProbalApps customer support is beyond fabulous.  They walk you through the steps to get your app launched on Google Play and iSO that are super easy to follow.  The dashboard it very easy to customize your own look and feel to your app store.  I am really looking forward to using this app.
264,Knight Rider Store,5/5 stars,"January 12, 2018","Plobal Apps have the best Customer service, they respond immediately and take care that my app was submitted successfully! Nice Work!!"
265,Shop Perminmerchants,4/5 stars,"January 11, 2018",Good team to work in getting my app build. Knowledge base videos are helpful and very straight forward to understand. I am looking forward for marketing team to help me in building traffic and sale. 
266,Fox Junkie,5/5 stars,"January 10, 2018",Plobal apps has the best customer support and always has the answers for what ever i need.
267,Www Remixd Co Uk,5/5 stars,"August 2, 2018",So easy compared to my last dip into apps.  Very helpful team and more than happy to talk you through everything.  Honestly anyone with a website could set up with these guys.  very understanding and quick to sort out issues too
268,Quint Essentials Clothing,5/5 stars,"January 10, 2018","Chintan, Yuvi and his team are awesome. So far we've got got sales coming in from the app and I'm looking forward to pushing the app even more. "
269,Harum,5/5 stars,"January 10, 2018",Excellent customer service. Fast response when in need of assistance regarding the app. Thumbs up! 
270,Rokamaestore,5/5 stars,"July 1, 2018",I have since December 2017 with Plobal Apps and I have received from them the best attention to the additional client to have a first quality App. Excellent product and excellent service. Thank you
271,Wgrca,5/5 stars,"January 8, 2018","The app is amazing. My app looks great in both Android and Apple application markets. Besides, they've also got the best customer support! "
272,Digital Age Technology,5/5 stars,"January 2, 2018",Great Customer care and Service. Plobal App team guide me step by step in getting my Shopify app published. Best app for Shopify. Will highly recommend Plobal App to other Shopify online store users.
273,B4itgone,5/5 stars,"December 29, 2017","Great App. Easy to use, Great customer care, easy to reachI am excited to see my mobile app on market,"
274,Smartspace Me,5/5 stars,"December 22, 2017","I really enjoyed working with PlbalApps team, they are knowledgable, helpful and resourceful ... amazing insights and advice"
275,Purpletuls,5/5 stars,"December 20, 2017",Wonderful team and the best app solution for Shopify!
276,Busybee Bb,5/5 stars,"December 18, 2017","One of the best customer service i ever encountered me and my team, and i come from a 15 yrs of Marketing background so i know a bit about it.All the Plobal team took me through every steps to get my app going through live chats, emails and phone calls... I never needed something and i waited more than 15 mns."
277,Time Machine Plus,5/5 stars,"December 12, 2017","Great app, great service. Launched my app in literally 2 days. The customer service is very helpful and friendly. I love the app and love this service. Don't hesitate to try it for your store. I'm just upset I didn't use this first. Thanks, guys!"
278,Steiner Sports 2,5/5 stars,"December 8, 2017",Service response times are superb. A quality solution for a quick-fix mobile app.
279,Lulucos,5/5 stars,"December 6, 2017","We have been using it for several months, and so far we love it. Some features could be limited (cannot use related product recommendation feature), but other than that, it works great. They regularly contact us to ensure to raise the awareness of the app, which is good for both of us. Thanks!"
280,Citizen Glow,5/5 stars,"December 6, 2017","This made my shop a truly beautiful app, it's very easy to set up and use.  The pricing is extremely fair, I'm so glad I decided to do this."
281,Danielles All Things Fit And Fabulous,5/5 stars,"December 4, 2017",I have been dealing with Plobal Apps now for a few months and their support has been outstanding. I would highly recommend them. I like the look and feel of the App and functionality. I look forward to working with them as I grow my business. 
282,Heydeals,5/5 stars,"December 3, 2017","These guys are awesome. Highly recommend this product if you are interested in expanding your business! Super affordable and great customer service. I have been a customer for about 2 months and had nothing but a great experience with these guys. Feel free to check our app ""FanTriffic"" to see there work or visit us at www.fantriffic.com if you have any further questions about there service. "
283,T Koar,5/5 stars,"December 1, 2017","WOW!!! What others say about customer service is right... Customer service here is OUTSTANDING... helping me get set up on the apps right away, walking me through step by step the process and outlining the process to set up Google and Apple Developer accounts. The apps are really nice apps, with nice customization options. If you've wanted your Shopify store to have app components, this is the way to go!"
284,Tubellas,5/5 stars,"December 1, 2017","Highly recommended, if you really want to step up your business you must install this app, don't even think twice. The support team is just great, awesome, I don't have words to express, they will be there to help when you need them. I'm so happy I found this app."
285,Q Stix,5/5 stars,"November 28, 2017","Customer service is great, they've answered every question I have had super fast. The app layout is perfect for what I need and is very easy to customize it how you want. I highly recommend"
286,Wishkaa Com,5/5 stars,"November 26, 2017",Nice concept and service model and tried test app version of their service and it looked really nice. We will use their service whenever we decide to go live with app.Customer care is responsive and friendly
287,Nootropicosmexico,5/5 stars,"November 23, 2017","Do not hesitate, without knowing how to program they help you create the app for your store."
288,Sofiachics,5/5 stars,"November 23, 2017","hello friends in shopify.com,what I love in Plobal app the people in, they useful when you need help they immediate respond, and I am really like them to much, and the idea for app is amazing, they not get any money until you make it first,  without hesitate I give them 100% grade perfect, and good business.good luck for all.Nafea aloudah"
289,Sunfishcellars,5/5 stars,"November 20, 2017",Amazing customer service! Support was quick and fixed every issue I had.
290,Stylish Planners,5/5 stars,"February 4, 2019","Can't say enough good things! Great support, east setup and would definitely recommend! So easy to use!"
291,Go Mx,5/5 stars,"November 16, 2017","Great support team to work with, very helpful. Adapting the App for our store was pretty straight forward and easy to implement."
292,Rajashree Enterprize,5/5 stars,"November 16, 2017",Very good and user friendly app designing. Great support team to help you all the time till the app is not ready to live. 
293,Msread,5/5 stars,"November 14, 2017",The support given so far is excellent. The app can be better in terms of features and user experience. Look forward to the upgraded and improved version. 
